orders,committee_size,t_sig,metric,n_total,n_success,n_numeric,success_rate,mean,median,sample_sd,p95_nearest_rank,mean_ci95_lower,mean_ci95_upper,t_critical_975,minimum,maximum
500,5,3,plaintext_compute_sign_http_ms,30,30,30,1.000000000,25.847546667,24.242500000,5.883405901,42.652700000,23.650649252,28.044444082,2.045227358,19.660000000,45.262800000
500,5,3,threshold_response_ms,30,30,30,1.000000000,22.204660000,21.765250000,2.162576925,26.101600000,21.397141407,23.012178593,2.045227358,18.470900000,26.704600000
500,5,3,signature_verify_aggregate_ms,30,30,30,1.000000000,58.679150000,58.124750000,3.966639690,65.888600000,57.197984052,60.160315948,2.045227358,52.966900000,68.946800000
500,5,3,total_ms,30,30,30,1.000000000,85.311833333,84.693850000,6.149055893,99.156500000,83.015740692,87.607925975,2.045227358,77.124000000,99.235500000
500,5,3,request_payload_bytes,30,30,30,1.000000000,500252.500000000,500260.000000000,161.686958082,500530.000000000,500192.125165047,500312.874834953,2.045227358,499955.000000000,500560.000000000
500,5,3,response_payload_bytes,30,30,30,1.000000000,4159171.333333333,4170010.000000000,54694.610368238,4219105.000000000,4138748.052983637,4179594.613683030,2.045227358,3983865.000000000,4221195.000000000
500,5,3,total_payload_bytes,30,30,30,1.000000000,4659423.833333333,4670362.500000000,54692.175347865,4719275.000000000,4639001.462234171,4679846.204432495,2.045227358,4484215.000000000,4721725.000000000
500,7,4,input_encode_ms,30,30,30,1.000000000,0.856153333,1.000050000,0.594343970,1.515000000,0.634221896,1.078084771,2.045227358,0.000000000,2.138600000
500,7,4,plaintext_compute_sign_http_ms,30,30,30,1.000000000,35.508283333,34.748850000,7.434172393,49.114800000,32.732320841,38.284245826,2.045227358,23.443600000,51.080900000
500,7,4,threshold_response_ms,30,30,30,1.000000000,27.669283333,27.497250000,3.062715731,31.855900000,26.525647762,28.812918905,2.045227358,20.207800000,32.091100000
500,7,4,signature_verify_aggregate_ms,30,30,30,1.000000000,81.495796667,80.543700000,6.106876972,90.933500000,79.215453876,83.776139458,2.045227358,71.387300000,95.389600000
500,7,4,total_ms,30,30,30,1.000000000,117.860233333,117.096400000,9.862995807,131.781900000,114.177334285,121.543132381,2.045227358,97.137800000,134.450600000
500,7,4,request_payload_bytes,30,30,30,1.000000000,700355.366666667,700385.000000000,236.266285092,700742.000000000,700267.143484435,700443.589848899,2.045227358,699930.000000000,700763.000000000
500,7,4,response_payload_bytes,30,30,30,1.000000000,5808468.133333334,5804771.000000000,72317.144600869,5908497.000000000,5781464.497905102,5835471.768761566,2.045227358,5638549.000000000,5910715.000000000
500,7,4,total_payload_bytes,30,30,30,1.000000000,6508823.500000000,6505058.000000000,72299.383533285,6608959.000000000,6481826.496655992,6535820.503344008,2.045227358,6339053.000000000,6611373.000000000
