modulus_bits,hash_to_prime_bits,user_count,run_id,seed,deployment_id,warmups_discarded,operation,layer,value,unit,latency_ms,scope,setup_included,rsa_setup_included,success,error
2048,256,100,8,2026,local-e2-production-2048,1,two_layer_revocation,two_layer,108.031400000,ms,108.031400000,sum of regional and global removal/recomputation,false,false,true,
2048,256,100,8,2026,local-e2-production-2048,1,single_witness_refresh_after_revocation,regional,58.735700000,ms,58.735700000,refresh one remaining member witness; not all members,false,false,true,
2048,256,100,8,2026,local-e2-production-2048,1,single_witness_refresh_after_revocation,global,52.620400000,ms,52.620400000,refresh one remaining member witness; not all members,false,false,true,
2048,256,100,8,2026,local-e2-production-2048,1,two_layer_single_witness_refresh_after_revocation,two_layer,111.356100000,ms,111.356100000,sum for one remaining member's regional and global witnesses; not all members,false,false,true,
2048,256,100,8,2026,local-e2-production-2048,1,membership_claim_json_size,two_layer,1920.000000000,bytes,,one regional+global context-bound membership claim JSON,false,false,true,
2048,256,100,8,2026,local-e2-production-2048,1,public_accumulator_state_json_size,two_layer,11550.000000000,bytes,,two public accumulator states including active prime representatives; no RSA factors,false,false,true,
2048,256,100,9,2026,local-e2-production-2048,1,hash_to_prime,regional,1.749800000,ms,1.749800000,one deterministic 256-bit prime representative; prime search included; RSA setup excluded,false,false,true,
2048,256,100,9,2026,local-e2-production-2048,1,hash_to_prime,global,3.858300000,ms,3.858300000,one deterministic 256-bit prime representative; prime search included; RSA setup excluded,false,false,true,
2048,256,100,9,2026,local-e2-production-2048,1,two_layer_hash_to_prime,two_layer,5.608100000,ms,5.608100000,sum for one regional and one global representative,false,false,true,
2048,256,100,9,2026,local-e2-production-2048,1,member_addition,regional,0.998900000,ms,0.998900000,add one member to an identical n-1 active-member state,false,false,true,
2048,256,100,9,2026,local-e2-production-2048,1,member_addition,global,2.000200000,ms,2.000200000,add one member to an identical n-1 active-member state,false,false,true,
2048,256,100,9,2026,local-e2-production-2048,1,two_layer_member_addition,two_layer,2.999100000,ms,2.999100000,sum of one regional and one global member addition,false,false,true,
2048,256,100,9,2026,local-e2-production-2048,1,witness_generation,regional,48.498400000,ms,48.498400000,fresh witness for one active member,false,false,true,
2048,256,100,9,2026,local-e2-production-2048,1,witness_generation,global,47.891700000,ms,47.891700000,fresh witness for one active member,false,false,true,
2048,256,100,9,2026,local-e2-production-2048,1,two_layer_claim_generation,two_layer,96.390100000,ms,96.390100000,sum of regional and global witness generation,false,false,true,
2048,256,100,9,2026,local-e2-production-2048,1,membership_verification,regional,2.448800000,ms,2.448800000,one current regional witness,false,false,true,
2048,256,100,9,2026,local-e2-production-2048,1,membership_verification,global,1.987300000,ms,1.987300000,one current global witness,false,false,true,
2048,256,100,9,2026,local-e2-production-2048,1,two_layer_membership_verification,two_layer,4.436100000,ms,4.436100000,sum of current regional and global verification,false,false,true,
2048,256,100,9,2026,local-e2-production-2048,1,revocation,regional,51.062400000,ms,51.062400000,remove one member and recompute the regional accumulator,false,false,true,
2048,256,100,9,2026,local-e2-production-2048,1,revocation,global,57.813000000,ms,57.813000000,remove one member and recompute the global accumulator,false,false,true,
2048,256,100,9,2026,local-e2-production-2048,1,two_layer_revocation,two_layer,108.875400000,ms,108.875400000,sum of regional and global removal/recomputation,false,false,true,
2048,256,100,9,2026,local-e2-production-2048,1,single_witness_refresh_after_revocation,regional,47.865800000,ms,47.865800000,refresh one remaining member witness; not all members,false,false,true,
