experiment,operation,run_id,seed,deployment_id,warmups_discarded,evaluate_or_submit,proposal_build_ms,endorsement_ms,ordering_submit_ms,event_wait_ms,total_ms,input_bytes,output_bytes,business_valid,success,error
E4,valid_global_membership_verification,11,2026,e4-20260713T113950.708594500,5,evaluate,0.000000000,283.700300000,0.000000000,0.000000000,283.700300000,2193,78,true,true,
E4,valid_global_membership_verification,12,2026,e4-20260713T113950.708594500,5,evaluate,0.000000000,285.806300000,0.000000000,0.000000000,285.806300000,2193,78,true,true,
E4,valid_global_membership_verification,13,2026,e4-20260713T113950.708594500,5,evaluate,0.000000000,279.498900000,0.000000000,0.000000000,279.498900000,2193,78,true,true,
E4,valid_global_membership_verification,14,2026,e4-20260713T113950.708594500,5,evaluate,0.000000000,268.837900000,0.000000000,0.000000000,268.837900000,2193,78,true,true,
E4,valid_global_membership_verification,15,2026,e4-20260713T113950.708594500,5,evaluate,0.000000000,289.246600000,0.000000000,0.000000000,289.246600000,2193,78,true,true,
E4,valid_global_membership_verification,16,2026,e4-20260713T113950.708594500,5,evaluate,0.000000000,287.674200000,0.000000000,0.000000000,287.674200000,2193,78,true,true,
E4,valid_global_membership_verification,17,2026,e4-20260713T113950.708594500,5,evaluate,0.000000000,277.310500000,0.000000000,0.000000000,277.310500000,2193,78,true,true,
E4,valid_global_membership_verification,18,2026,e4-20260713T113950.708594500,5,evaluate,0.000000000,295.872900000,0.000000000,0.000000000,295.872900000,2193,78,true,true,
E4,valid_global_membership_verification,19,2026,e4-20260713T113950.708594500,5,evaluate,0.000000000,275.218100000,0.000000000,0.000000000,275.218100000,2193,78,true,true,
E4,valid_global_membership_verification,20,2026,e4-20260713T113950.708594500,5,evaluate,0.000000000,276.744100000,0.000000000,0.000000000,276.744100000,2193,78,true,true,
