orders,committee_size,t_priv,t_sig,run_id,seed,warmups_discarded,process_model,computation_mode,matched_pairs,input_encode_ms,sharing_ms,share_transfer_ms,reconstruction_ms,secure_sort_ms,plaintext_compute_sign_http_ms,threshold_response_ms,signature_verify_aggregate_ms,total_ms,request_payload_bytes,response_payload_bytes,total_payload_bytes,application_rounds,success,error
1000,3,not_applicable_plaintext,2,14,4002040,5,independent_os_processes,committee-side plaintext comparison prototype,996,1.000000000,,,,,40.306600000,38.609000000,70.341000000,111.647600000,599751,5050641,5650392,1,true,
1000,3,not_applicable_plaintext,2,15,4002041,5,independent_os_processes,committee-side plaintext comparison prototype,977,0.999100000,,,,,36.995700000,34.567600000,64.519200000,102.514000000,599745,4973991,5573736,1,true,
1000,3,not_applicable_plaintext,2,16,4002042,5,independent_os_processes,committee-side plaintext comparison prototype,999,1.205400000,,,,,34.689700000,34.689700000,75.835400000,111.730500000,599637,5061177,5660814,1,true,
1000,3,not_applicable_plaintext,2,17,4002043,5,independent_os_processes,committee-side plaintext comparison prototype,980,1.515500000,,,,,43.754700000,41.618100000,68.506700000,113.776900000,599442,4985055,5584497,1,true,
1000,3,not_applicable_plaintext,2,18,4002044,5,independent_os_processes,committee-side plaintext comparison prototype,983,1.375700000,,,,,40.471000000,39.934800000,73.966400000,115.813100000,599496,4997583,5597079,1,true,
1000,3,not_applicable_plaintext,2,19,4002045,5,independent_os_processes,committee-side plaintext comparison prototype,987,0.995400000,,,,,41.462900000,40.921200000,68.227100000,110.685400000,599580,5014275,5613855,1,true,
1000,3,not_applicable_plaintext,2,20,4002046,5,independent_os_processes,committee-side plaintext comparison prototype,998,2.272700000,,,,,39.747800000,37.527500000,66.766200000,108.786700000,599778,5058723,5658501,1,true,
1000,3,not_applicable_plaintext,2,21,4002047,5,independent_os_processes,committee-side plaintext comparison prototype,984,1.415200000,,,,,38.511100000,37.445400000,69.809400000,109.735700000,599556,5001813,5601369,1,true,
1000,3,not_applicable_plaintext,2,22,4002048,5,independent_os_processes,committee-side plaintext comparison prototype,967,1.197600000,,,,,44.925200000,43.917400000,82.504000000,128.626800000,599598,4934877,5534475,1,true,
1000,3,not_applicable_plaintext,2,23,4002049,5,independent_os_processes,committee-side plaintext comparison prototype,974,1.999600000,,,,,39.822800000,39.239200000,97.062800000,138.885200000,599778,4963677,5563455,1,true,
1000,3,not_applicable_plaintext,2,24,4002050,5,independent_os_processes,committee-side plaintext comparison prototype,996,1.506500000,,,,,33.888500000,33.888500000,62.606000000,98.001000000,599571,5049843,5649414,1,true,
1000,3,not_applicable_plaintext,2,25,4002051,5,independent_os_processes,committee-side plaintext comparison prototype,992,1.997600000,,,,,33.697200000,33.191300000,65.166100000,100.860900000,599628,5034021,5633649,1,true,
1000,3,not_applicable_plaintext,2,26,4002052,5,independent_os_processes,committee-side plaintext comparison prototype,996,1.444500000,,,,,41.895000000,39.340900000,67.318300000,110.657800000,599481,5051517,5650998,1,true,
1000,3,not_applicable_plaintext,2,27,4002053,5,independent_os_processes,committee-side plaintext comparison prototype,998,1.505300000,,,,,42.859900000,41.799500000,74.680200000,119.045400000,599535,5057139,5656674,1,true,
1000,3,not_applicable_plaintext,2,28,4002054,5,independent_os_processes,committee-side plaintext comparison prototype,984,2.005900000,,,,,46.221000000,32.862900000,67.770500000,115.997400000,599739,5001955,5601694,1,true,
1000,3,not_applicable_plaintext,2,29,4002055,5,independent_os_processes,committee-side plaintext comparison prototype,978,1.019100000,,,,,34.423900000,33.853800000,66.621800000,102.064800000,599643,4979511,5579154,1,true,
1000,3,not_applicable_plaintext,2,30,4002056,5,independent_os_processes,committee-side plaintext comparison prototype,977,3.026800000,,,,,37.212600000,36.674900000,63.475400000,103.714800000,599700,4973853,5573553,1,true,
50,5,not_applicable_plaintext,3,1,5052027,5,independent_os_processes,committee-side plaintext comparison prototype,47,0.000000000,,,,,5.038800000,3.885700000,6.923800000,11.962600000,50995,410815,461810,1,true,
50,5,not_applicable_plaintext,3,2,5052028,5,independent_os_processes,committee-side plaintext comparison prototype,46,0.000000000,,,,,3.227500000,3.227500000,6.952100000,10.179600000,51045,403805,454850,1,true,
50,5,not_applicable_plaintext,3,3,5052029,5,independent_os_processes,committee-side plaintext comparison prototype,48,0.000000000,,,,,2.706900000,2.706900000,6.895300000,9.602200000,51015,418015,469030,1,true,
50,5,not_applicable_plaintext,3,4,5052030,5,independent_os_processes,committee-side plaintext comparison prototype,48,0.000000000,,,,,4.025200000,2.876400000,5.781500000,9.806700000,51015,417725,468740,1,true,
50,5,not_applicable_plaintext,3,5,5052031,5,independent_os_processes,committee-side plaintext comparison prototype,47,0.000000000,,,,,4.859100000,3.795800000,5.831200000,10.690300000,51070,411535,462605,1,true,
50,5,not_applicable_plaintext,3,6,5052032,5,independent_os_processes,committee-side plaintext comparison prototype,45,0.528900000,,,,,3.187800000,2.124500000,5.754200000,9.470900000,51050,398595,449645,1,true,
50,5,not_applicable_plaintext,3,7,5052033,5,independent_os_processes,committee-side plaintext comparison prototype,47,0.000000000,,,,,3.241800000,2.718100000,6.400200000,9.642000000,51025,411235,462260,1,true,
50,5,not_applicable_plaintext,3,8,5052034,5,independent_os_processes,committee-side plaintext comparison prototype,42,0.000000000,,,,,4.373800000,3.833800000,7.463800000,11.837600000,51085,378185,429270,1,true,
50,5,not_applicable_plaintext,3,9,5052035,5,independent_os_processes,committee-side plaintext comparison prototype,48,0.000000000,,,,,3.444500000,3.444500000,6.879600000,10.324100000,51050,418315,469365,1,true,
50,5,not_applicable_plaintext,3,10,5052036,5,independent_os_processes,committee-side plaintext comparison prototype,46,0.522300000,,,,,3.880000000,3.880000000,7.476500000,11.878800000,51090,405205,456295,1,true,
50,5,not_applicable_plaintext,3,11,5052037,5,independent_os_processes,committee-side plaintext comparison prototype,47,0.000000000,,,,,3.261900000,3.261900000,6.857900000,10.119800000,51025,411145,462170,1,true,
50,5,not_applicable_plaintext,3,12,5052038,5,independent_os_processes,committee-side plaintext comparison prototype,47,0.000000000,,,,,4.366400000,3.820200000,6.387200000,10.753600000,51030,411375,462405,1,true,
