variant,run_id,paired_block_id,deployment_index,deployment_id,seed,order_position,total_ms,plain_total_ms,delta_ms,relative_overhead_percent,input_hash_equal,semantic_hash_equal,success
RETF_H,26,26,3,e5-d3-20260713T121337.834860900,302726,4,2071.316400000,2078.618300000,-7.301900000,-0.351286237,true,true,true
PP_RETF,27,27,3,e5-d3-20260713T121337.834860900,302826,1,3074.691700000,2056.362200000,1018.329500000,49.520920974,true,true,true
Plain_RETF,27,27,3,e5-d3-20260713T121337.834860900,302826,2,2056.362200000,2056.362200000,0.000000000,0.000000000,true,true,true
RETF_A,27,27,3,e5-d3-20260713T121337.834860900,302826,3,2800.800300000,2056.362200000,744.438100000,36.201701237,true,true,true
RETF_C,27,27,3,e5-d3-20260713T121337.834860900,302826,5,2088.696200000,2056.362200000,32.334000000,1.572388366,true,true,true
RETF_H,27,27,3,e5-d3-20260713T121337.834860900,302826,4,2069.560600000,2056.362200000,13.198400000,0.641832455,true,true,true
PP_RETF,28,28,3,e5-d3-20260713T121337.834860900,302926,2,2996.880800000,2089.421600000,907.459200000,43.431119885,true,true,true
Plain_RETF,28,28,3,e5-d3-20260713T121337.834860900,302926,3,2089.421600000,2089.421600000,0.000000000,0.000000000,true,true,true
RETF_A,28,28,3,e5-d3-20260713T121337.834860900,302926,1,3088.447000000,2089.421600000,999.025400000,47.813490585,true,true,true
RETF_C,28,28,3,e5-d3-20260713T121337.834860900,302926,5,2066.274100000,2089.421600000,-23.147500000,-1.107842477,true,true,true
RETF_H,28,28,3,e5-d3-20260713T121337.834860900,302926,4,2072.298600000,2089.421600000,-17.123000000,-0.819509093,true,true,true
PP_RETF,29,29,3,e5-d3-20260713T121337.834860900,303026,4,2838.025600000,2062.998500000,775.027100000,37.567991445,true,true,true
Plain_RETF,29,29,3,e5-d3-20260713T121337.834860900,303026,5,2062.998500000,2062.998500000,0.000000000,0.000000000,true,true,true
RETF_A,29,29,3,e5-d3-20260713T121337.834860900,303026,1,2907.172400000,2062.998500000,844.173900000,40.919753456,true,true,true
RETF_C,29,29,3,e5-d3-20260713T121337.834860900,303026,3,2073.595300000,2062.998500000,10.596800000,0.513660092,true,true,true
RETF_H,29,29,3,e5-d3-20260713T121337.834860900,303026,2,2067.449900000,2062.998500000,4.451400000,0.215773303,true,true,true
PP_RETF,30,30,3,e5-d3-20260713T121337.834860900,303126,5,2801.547300000,2057.129900000,744.417400000,36.187184873,true,true,true
Plain_RETF,30,30,3,e5-d3-20260713T121337.834860900,303126,3,2057.129900000,2057.129900000,0.000000000,0.000000000,true,true,true
RETF_A,30,30,3,e5-d3-20260713T121337.834860900,303126,4,2794.465000000,2057.129900000,737.335100000,35.842904233,true,true,true
RETF_C,30,30,3,e5-d3-20260713T121337.834860900,303126,1,2069.608500000,2057.129900000,12.478600000,0.606602432,true,true,true
RETF_H,30,30,3,e5-d3-20260713T121337.834860900,303126,2,2069.031900000,2057.129900000,11.902000000,0.578573089,true,true,true
