experiment,source_file,group_json,metric,n_total,n_success,n_numeric,success_rate,mean,median,sample_sd,p95_nearest_rank,mean_ci95_lower,mean_ci95_upper,t_critical_975,minimum,maximum
E2_accumulator,fig3_accumulator_scale_statistics.csv,"{""user_count"":""1000"",""operation"":""two_layer_revocation"",""layer"":""two_layer"",""unit"":""ms""}",value,30,30,30,1.000000000,844.329916667,835.837200000,34.317732854,923.870700000,831.515478931,857.144354402,2.045227358,808.245400000,953.544300000
E2_accumulator,fig3_accumulator_scale_statistics.csv,"{""user_count"":""1000"",""operation"":""two_layer_single_witness_refresh_after_revocation"",""layer"":""two_layer"",""unit"":""ms""}",value,30,30,30,1.000000000,845.828600000,836.015550000,49.601169482,911.359300000,827.307239610,864.349960390,2.045227358,791.182000000,1064.299000000
E2_accumulator,fig3_accumulator_scale_statistics.csv,"{""user_count"":""1000"",""operation"":""witness_generation"",""layer"":""global"",""unit"":""ms""}",value,30,30,30,1.000000000,418.511136667,414.806350000,14.862593731,447.761200000,412.961359158,424.060914176,2.045227358,402.358200000,457.156400000
E2_accumulator,fig3_accumulator_scale_statistics.csv,"{""user_count"":""1000"",""operation"":""witness_generation"",""layer"":""regional"",""unit"":""ms""}",value,30,30,30,1.000000000,420.937690000,415.253200000,17.845651445,456.944600000,414.274021678,427.601358322,2.045227358,394.993500000,469.243400000
E2_accumulator,fig3_accumulator_scale_statistics.csv,"{""user_count"":""500"",""operation"":""hash_to_prime"",""layer"":""global"",""unit"":""ms""}",value,30,30,30,1.000000000,2.105336667,1.998000000,1.183828328,4.142000000,1.663288398,2.547384935,2.045227358,0.997000000,6.072900000
E2_accumulator,fig3_accumulator_scale_statistics.csv,"{""user_count"":""500"",""operation"":""hash_to_prime"",""layer"":""regional"",""unit"":""ms""}",value,30,30,30,1.000000000,2.008020000,1.999600000,0.697670998,3.010400000,1.747505659,2.268534341,2.045227358,0.996300000,3.522900000
E2_accumulator,fig3_accumulator_scale_statistics.csv,"{""user_count"":""500"",""operation"":""member_addition"",""layer"":""global"",""unit"":""ms""}",value,30,30,30,1.000000000,1.849776667,1.775400000,0.713961271,3.297300000,1.583179444,2.116373889,2.045227358,0.998400000,3.519000000
E2_accumulator,fig3_accumulator_scale_statistics.csv,"{""user_count"":""500"",""operation"":""member_addition"",""layer"":""regional"",""unit"":""ms""}",value,30,30,30,1.000000000,1.914003333,2.004300000,0.663317360,3.353700000,1.666316837,2.161689830,2.045227358,0.998900000,3.469500000
E2_accumulator,fig3_accumulator_scale_statistics.csv,"{""user_count"":""500"",""operation"":""membership_claim_json_size"",""layer"":""two_layer"",""unit"":""bytes""}",value,30,30,30,1.000000000,1920.000000000,1920.000000000,0.000000000,1920.000000000,1920.000000000,1920.000000000,2.045227358,1920.000000000,1920.000000000
E2_accumulator,fig3_accumulator_scale_statistics.csv,"{""user_count"":""500"",""operation"":""membership_verification"",""layer"":""global"",""unit"":""ms""}",value,30,30,30,1.000000000,1.692560000,1.641850000,0.550668896,2.531400000,1.486937084,1.898182916,2.045227358,0.995900000,3.000100000
E2_accumulator,fig3_accumulator_scale_statistics.csv,"{""user_count"":""500"",""operation"":""membership_verification"",""layer"":""regional"",""unit"":""ms""}",value,30,30,30,1.000000000,1.796116667,1.921750000,0.641394531,2.631500000,1.556616280,2.035617053,2.045227358,0.507900000,3.328700000
E2_accumulator,fig3_accumulator_scale_statistics.csv,"{""user_count"":""500"",""operation"":""public_accumulator_state_json_size"",""layer"":""two_layer"",""unit"":""bytes""}",value,30,30,30,1.000000000,48350.000000000,48350.000000000,0.000000000,48350.000000000,48350.000000000,48350.000000000,2.045227358,48350.000000000,48350.000000000
E2_accumulator,fig3_accumulator_scale_statistics.csv,"{""user_count"":""500"",""operation"":""revocation"",""layer"":""global"",""unit"":""ms""}",value,30,30,30,1.000000000,235.624886667,232.594050000,20.456398424,287.809600000,227.986350490,243.263422843,2.045227358,207.851700000,301.437700000
E2_accumulator,fig3_accumulator_scale_statistics.csv,"{""user_count"":""500"",""operation"":""revocation"",""layer"":""regional"",""unit"":""ms""}",value,30,30,30,1.000000000,232.528660000,233.271700000,13.227992149,254.592800000,227.589252071,237.468067929,2.045227358,211.264600000,259.013900000
E2_accumulator,fig3_accumulator_scale_statistics.csv,"{""user_count"":""500"",""operation"":""single_witness_refresh_after_revocation"",""layer"":""global"",""unit"":""ms""}",value,30,30,30,1.000000000,230.333770000,227.894100000,16.585684814,268.607700000,224.140580425,236.526959575,2.045227358,203.356200000,279.245500000
